Date,Price,Change,PercentChange,dummy,
2020/11/5,37.96,2.67,7.565882686,1,
2020/10/29,35.29,-0.46,-1.286713287,0,
2020/10/22,35.75,0.97,2.788959172,1,
2020/10/15,34.78,0.04,0.115141048,1,
2020/10/8,34.74,8.5,32.39329268,1,
2020/10/1,26.24,1.35,5.423865006,1,
2020/9/24,24.89,-7.13,-22.26733292,0,
2020/9/17,32.02,8.31,35.04850274,1,
2020/9/10,23.71,-7.09,-23.01948052,0,
2020/9/3,30.8,-1.28,-3.990024938,0,
2020/8/27,32.08,1.69,5.561039816,1,
2020/8/20,30.39,0.35,1.165113182,1,
2020/8/13,30.04,6.75,28.98239588,1,
2020/8/6,23.29,3.06,15.12605042,1,
2020/7/30,20.23,-5.83,-22.3714505,0,
2020/7/23,26.06,-4.78,-15.49935149,0,
2020/7/16,30.84,3.68,13.54933726,1,
2020/7/9,27.16,5.01,22.61851016,1,
2020/7/2,22.15,-1.99,-8.243579122,0,
2020/6/25,24.14,-0.23,-0.94378334,0,
2020/6/18,24.37,-9.91,-28.90898483,0,
2020/6/11,34.28,-0.27,-0.781476122,0,
2020/6/4,34.55,1.48,4.475355307,1,
2020/5/28,33.07,4.07,14.03448276,1,
2020/5/21,29,5.69,24.41012441,1,
2020/5/14,23.31,-0.36,-1.520912548,0,
2020/5/7,23.67,-6.93,-22.64705882,0,
2020/4/30,30.6,5.74,23.08930008,1,
2020/4/23,24.86,-10,-28.68617326,0,
2020/4/16,34.86,-1.74,-4.754098361,0,
2020/4/9,36.6,2.36,6.892523364,1,
2020/4/2,34.24,1.34,4.072948328,1,
2020/3/26,32.9,-1.45,-4.22125182,0,
2020/3/19,34.35,4.61,15.50100874,1,
2020/3/12,29.74,-9,-23.23180176,0,
2020/3/5,38.74,8.31,27.30857706,1,
2020/2/27,30.43,-10.13,-24.97534517,0,
2020/2/20,40.56,-0.77,-1.863053472,0,
2020/2/13,41.33,7.46,22.0253912,1,
2020/2/6,33.87,1.89,5.909943715,1,
2020/1/30,31.98,-13.62,-29.86842105,0,
2020/1/23,45.6,3.77,9.012670332,1,
2020/1/16,41.83,8.76,26.4892652,1,
2020/1/9,33.07,-4.15,-11.1499194,0,
2020/1/2,37.22,-4.67,-11.1482454,0,
2019/12/26,41.89,-2.2,-4.989793604,0,
2019/12/19,44.09,6.46,17.16715387,1,
2019/12/12,37.63,5.91,18.63177806,1,
2019/12/5,31.72,-1.92,-5.707491082,0,
